9500854,ニイガタケン,ニイガタシヒガシク,ミナミシチク,新潟県,新潟市東区,南紫竹
9500962,ニイガタケン,ニイガタシチュウオウク,デキジマ,新潟県,新潟市中央区,出来島
9500917,ニイガタケン,ニイガタシチュウオウク,テンジン,新潟県,新潟市中央区,天神
9500021,ニイガタケン,ニイガタシヒガシク,モノミヤマ,新潟県,新潟市東区,物見山
9500077,ニイガタケン,ニイガタシチュウオウク,テンメイチョウ,新潟県,新潟市中央区,天明町
9500950,ニイガタケン,ニイガタシチュウオウク,トヤノミナミ,新潟県,新潟市中央区,鳥屋野南
9500905,ニイガタケン,ニイガタシチュウオウク,テンジンオ,新潟県,新潟市中央区,天神尾
9500951,ニイガタケン,ニイガタシチュウオウク,トヤノ,新潟県,新潟市中央区,鳥屋野
9500932,ニイガタケン,ニイガタシチュウオウク,ナガタ,新潟県,新潟市中央区,長潟
9500085,ニイガタケン,ニイガタシチュウオウク,ナガミネマチ,新潟県,新潟市中央区,長嶺町
9500866,ニイガタケン,ニイガタシチュウオウク,ニシウマコシ,新潟県,新潟市中央区,西馬越
9500075,ニイガタケン,ニイガタシチュウオウク,ヌッタリヒガシ,新潟県,新潟市中央区,沼垂東
9500076,ニイガタケン,ニイガタシチュウオウク,ヌッタリニシ,新潟県,新潟市中央区,沼垂西
9500086,ニイガタケン,ニイガタシチュウオウク,ハナゾノ,新潟県,新潟市中央区,花園
9500088,ニイガタケン,ニイガタシチュウオウク,バンダイ,新潟県,新潟市中央区,万代
9500078,ニイガタケン,ニイガタシチュウオウク,バンダイジマ,新潟県,新潟市中央区,万代島
9500087,ニイガタケン,ニイガタシチュウオウク,ヒガシオオドオリ,新潟県,新潟市中央区,東大通
9500906,ニイガタケン,ニイガタシチュウオウク,ヒガシサイワイチョウ,新潟県,新潟市中央区,東幸町
9500961,ニイガタケン,ニイガタシチュウオウク,ヒガシデキジマ,新潟県,新潟市中央区,東出来島
9500082,ニイガタケン,ニイガタシチュウオウク,ヒガシバンダイチョウ,新潟県,新潟市中央区,東万代町
9500073,ニイガタケン,ニイガタシチュウオウク,ヒノデ,新潟県,新潟市中央区,日の出
9500925,ニイガタケン,ニイガタシチュウオウク,ベンテンバシドオリ,新潟県,新潟市中央区,弁天橋通
9500981,ニイガタケン,ニイガタシチュウオウク,ホリノウチ,新潟県,新潟市中央区,堀之内
9500982,ニイガタケン,ニイガタシチュウオウク,ホリノウチミナミ,新潟県,新潟市中央区,堀之内南
9500954,ニイガタケン,ニイガタシチュウオウク,ミサキチョウ,新潟県,新潟市中央区,美咲町
9500904,ニイガタケン,ニイガタシチュウオウク,ミズシマチョウ,新潟県,新潟市中央区,水島町
9500912,ニイガタケン,ニイガタシチュウオウク,ミナミササグチ,新潟県,新潟市中央区,南笹口
9500963,ニイガタケン,ニイガタシチュウオウク,ミナミデキジマ,新潟県,新潟市中央区,南出来島
9500902,ニイガタケン,ニイガタシチュウオウク,ミナミバンダイチョウ,新潟県,新潟市中央区,南万代町
9500901,ニイガタケン,ニイガタシチュウオウク,ベンテン,新潟県,新潟市中央区,弁天
9500924,ニイガタケン,ニイガタシチュウオウク,ミノリ,新潟県,新潟市中央区,美の里
9500941,ニイガタケン,ニイガタシチュウオウク,メイケ,新潟県,新潟市中央区,女池
9500945,ニイガタケン,ニイガタシチュウオウク,メイケカミヤマ,新潟県,新潟市中央区,女池上山
9500943,ニイガタケン,ニイガタシチュウオウク,メイケシンメイ,新潟県,新潟市中央区,女池神明
9500984,ニイガタケン,ニイガタシチュウオウク,メイケヒガシ,新潟県,新潟市中央区,女池東
9500948,ニイガタケン,ニイガタシチュウオウク,メイケミナミ,新潟県,新潟市中央区,女池南
9500946,ニイガタケン,ニイガタシチュウオウク,メイケニシ,新潟県,新潟市中央区,女池西
9500931,ニイガタケン,ニイガタシチュウオウク,ミナミナガタ,新潟県,新潟市中央区,南長潟
9500909,ニイガタケン,ニイガタシチュウオウク,ヤチヨ,新潟県,新潟市中央区,八千代
9500871,ニイガタケン,ニイガタシチュウオウク,ヤマキド,新潟県,新潟市中央区,山木戸
9500922,ニイガタケン,ニイガタシチュウオウク,ヤマフタツ,新潟県,新潟市中央区,山二ツ
9500865,ニイガタケン,ニイガタシチュウオウク,モトウマコシ,新潟県,新潟市中央区,本馬越
9500947,ニイガタケン,ニイガタシチュウオウク,メイケキタ,新潟県,新潟市中央区,女池北
9500916,ニイガタケン,ニイガタシチュウオウク,ヨネヤマ,新潟県,新潟市中央区,米山
9500072,ニイガタケン,ニイガタシチュウオウク,リュウガシマ,新潟県,新潟市中央区,竜が島
9500985,ニイガタケン,ニイガタシチュウオウク,ワゴウチョウ,新潟県,新潟市中央区,和合町
9500000,ニイガタケン,ニイガタシコウナンク,イカニケイサイガナイバアイ,新潟県,新潟市江南区,以下に掲載がない場合
9500843,ニイガタケン,ニイガタシコウナンク,アワヤマ,新潟県,新潟市江南区,粟山
9500923,ニイガタケン,ニイガタシコウナンク,ウバガヤマ,新潟県,新潟市江南区,姥ケ山
9500932,ニイガタケン,ニイガタシコウナンク,ナガタ（バンチ）,新潟県,新潟市江南区,長潟（番地）
9500841,ニイガタケン,ニイガタシコウナンク,ナカノヤマ,新潟県,新潟市江南区,中野山
9500922,ニイガタケン,ニイガタシコウナンク,ヤマフタツ,新潟県,新潟市江南区,山二ツ
9500933,ニイガタケン,ニイガタシコウナンク,セイゴロウ,新潟県,新潟市江南区,清五郎
9500000,ニイガタケン,ニイガタシニシク,イカニケイサイガナイバアイ,新潟県,新潟市西区,以下に掲載がない場合
9502264,ニイガタケン,ニイガタシニシク,ミズキノ,新潟県,新潟市西区,みずき野
9500000,ニイガタケン,ニイガタシニシカンク,イカニケイサイガナイバアイ,新潟県,新潟市西蒲区,以下に掲載がない場合
